x-axis,1,2,3
second,Volt,Volt,Volt
-42.05000E-03,-100.50251E-03,+11.25628150E+00,+15.67839E-03
-42.00000E-03,-102.38693E-03,+11.25628150E+00,+16.43216E-03
-41.95000E-03,-99.49749E-03,+10.95477396E+00,+16.70854E-03
-41.90000E-03,-98.49246E-03,+11.05527647E+00,+16.88442E-03
-41.85000E-03,-95.47739E-03,+11.05527647E+00,+15.25126E-03
-41.80000E-03,-96.48241E-03,+11.04271365E+00,+15.67839E-03
-41.75000E-03,-96.48241E-03,+10.65326642E+00,+16.25628E-03
-41.70000E-03,-94.34673E-03,+10.45226139E+00,+14.47236E-03
-41.65000E-03,-94.47236E-03,+10.45226139E+00,+15.67839E-03
-41.60000E-03,-94.34673E-03,+10.43969857E+00,+16.08040E-03
-41.55000E-03,-91.45729E-03,+10.25125636E+00,+15.67839E-03
-41.50000E-03,-88.44221E-03,+10.05025133E+00,+18.44221E-03
-41.45000E-03,-88.44221E-03,+10.05025133E+00,+15.67839E-03
-41.40000E-03,-86.43216E-03,+10.03768852E+00,+17.23618E-03
-41.35000E-03,-84.42211E-03,+9.64824128E+00,+16.05528E-03
-41.30000E-03,-84.29648E-03,+9.44723625E+00,+17.23618E-03
-41.25000E-03,-81.40703E-03,+9.44723625E+00,+16.08040E-03
-41.20000E-03,-80.27638E-03,+9.24623123E+00,+16.85930E-03
-41.15000E-03,-79.27136E-03,+9.04522620E+00,+16.30653E-03
-41.10000E-03,-76.25628E-03,+8.84422117E+00,+17.26131E-03
-41.05000E-03,-73.24121E-03,+8.54271363E+00,+16.25628E-03
-41.00000E-03,-70.35176E-03,+8.44221112E+00,+16.48241E-03
-40.95000E-03,-68.34171E-03,+8.12814077E+00,+15.65327E-03
-40.90000E-03,-68.21608E-03,+7.83919604E+00,+16.05528E-03
-40.85000E-03,-63.31658E-03,+7.73869353E+00,+16.88442E-03
-40.80000E-03,-62.31156E-03,+7.62562820E+00,+16.48241E-03
-40.75000E-03,-59.17085E-03,+7.33668347E+00,+17.06030E-03
-40.70000E-03,-58.16583E-03,+7.03517593E+00,+17.63819E-03
-40.65000E-03,-56.28141E-03,+6.83417091E+00,+17.28643E-03
-40.60000E-03,-52.26131E-03,+6.63316588E+00,+17.26131E-03
-40.55000E-03,-50.25126E-03,+6.31909553E+00,+17.68844E-03
-40.50000E-03,-48.11558E-03,+5.82914577E+00,+17.26131E-03
-40.45000E-03,-45.10050E-03,+5.71608045E+00,+16.23116E-03
-40.40000E-03,-42.08543E-03,+5.61557793E+00,+16.83417E-03
-40.35000E-03,-37.06030E-03,+5.22613069E+00,+15.87940E-03
-40.30000E-03,-36.18090E-03,+4.82412064E+00,+16.45729E-03
-40.25000E-03,-33.16583E-03,+4.82412064E+00,+16.50754E-03
-40.20000E-03,-30.15075E-03,+4.40954777E+00,+16.85930E-03
-40.15000E-03,-28.14070E-03,+4.32160807E+00,+16.05528E-03
-40.10000E-03,-26.00502E-03,+4.02010053E+00,+17.23618E-03
-40.05000E-03,-22.11055E-03,+3.70603018E+00,+16.43216E-03
-40.00000E-03,-17.96482E-03,+3.40452264E+00,+16.48241E-03
-39.95000E-03,-16.08040E-03,+3.01507540E+00,+16.43216E-03
-39.90000E-03,-13.94472E-03,+2.81407037E+00,+16.85930E-03
-39.85000E-03,-10.05025E-03,+2.41206032E+00,+16.43216E-03
-39.80000E-03,-6.03015E-03,+2.21105529E+00,+17.28643E-03
-39.75000E-03,-4.89950E-03,+1.89698494E+00,+16.48241E-03
-39.70000E-03,-2.01005E-03,+1.79648243E+00,+16.08040E-03
-39.65000E-03,+879.40E-06,+1.29396986E+00,+15.70352E-03
-39.60000E-03,+4.02010E-03,+1.00502513E+00,+17.68844E-03
-39.55000E-03,+8.04020E-03,+804.02011E-03,+17.66332E-03
-39.50000E-03,+10.05025E-03,+590.45227E-03,+16.05528E-03
-39.45000E-03,+12.93970E-03,+87.93970E-03,+16.48241E-03
-39.40000E-03,+16.08040E-03,+0.0E+00,+17.13568E-03
-39.35000E-03,+18.09045E-03,-201.00503E-03,+16.68342E-03
-39.30000E-03,+20.10050E-03,-603.01508E-03,+16.85930E-03
-39.25000E-03,+24.12060E-03,-804.02011E-03,+16.08040E-03
-39.20000E-03,+26.13065E-03,-1.00502513E+00,+16.45729E-03
-39.15000E-03,+29.14573E-03,-1.40703519E+00,+15.07538E-03
-39.10000E-03,+34.04523E-03,-1.60804021E+00,+18.09045E-03
-39.05000E-03,+37.18593E-03,-1.89698494E+00,+17.28643E-03
-39.00000E-03,+38.19095E-03,-2.21105529E+00,+16.85930E-03
-38.95000E-03,+41.20603E-03,-2.50000002E+00,+16.88442E-03
-38.90000E-03,+44.09548E-03,-2.61306535E+00,+16.88442E-03
-38.85000E-03,+47.11055E-03,-2.91457289E+00,+16.68342E-03
-38.80000E-03,+48.24121E-03,-3.21608043E+00,+14.89950E-03
-38.75000E-03,+50.25126E-03,-3.41708545E+00,+15.67839E-03
-38.70000E-03,+52.26131E-03,-3.81909551E+00,+19.64824E-03
-38.65000E-03,+57.28643E-03,-3.81909551E+00,+14.32161E-03
-38.60000E-03,+60.17588E-03,-4.02010053E+00,+17.68844E-03
-38.55000E-03,+59.29648E-03,-4.42211059E+00,+15.85427E-03
-38.50000E-03,+62.31156E-03,-4.62311561E+00,+16.48241E-03
-38.45000E-03,+64.32161E-03,-4.82412064E+00,+16.03015E-03
-38.40000E-03,+68.21608E-03,-5.02512567E+00,+17.28643E-03
-38.35000E-03,+69.34673E-03,-5.32663321E+00,+16.85930E-03
-38.30000E-03,+72.23618E-03,-5.42713572E+00,+16.88442E-03
-38.25000E-03,+74.37186E-03,-5.62814075E+00,+16.08040E-03
-38.20000E-03,+76.38191E-03,-5.82914577E+00,+15.70352E-03
-38.15000E-03,+75.37688E-03,-6.03015080E+00,+16.25628E-03
-38.10000E-03,+76.38191E-03,-6.23115583E+00,+15.67839E-03
-38.05000E-03,+80.40201E-03,-6.43216085E+00,+16.30653E-03
-38.00000E-03,+82.41206E-03,-6.43216085E+00,+16.85930E-03
-37.95000E-03,+84.42211E-03,-6.73366839E+00,+15.87940E-03
-37.90000E-03,+86.30653E-03,-6.83417091E+00,+16.45729E-03
-37.85000E-03,+85.42713E-03,-7.03517593E+00,+16.25628E-03
-37.80000E-03,+88.44221E-03,-7.03517593E+00,+15.27638E-03
-37.75000E-03,+90.45226E-03,-7.23618096E+00,+14.39698E-03
-37.70000E-03,+90.45226E-03,-7.23618096E+00,+15.30151E-03
-37.65000E-03,+91.45729E-03,-7.43718599E+00,+16.10553E-03
-37.60000E-03,+92.46231E-03,-7.43718599E+00,+17.23618E-03
-37.55000E-03,+92.46231E-03,-7.53768850E+00,+15.45226E-03
-37.50000E-03,+96.35678E-03,-7.63819101E+00,+16.10553E-03
-37.45000E-03,+94.34673E-03,-7.83919604E+00,+15.27638E-03
-37.40000E-03,+98.36683E-03,-7.83919604E+00,+16.05528E-03
-37.35000E-03,+96.48241E-03,-7.93969855E+00,+15.85427E-03
-37.30000E-03,+96.48241E-03,-7.83919604E+00,+15.67839E-03
-37.25000E-03,+97.36181E-03,-7.92713574E+00,+15.27638E-03
-37.20000E-03,+96.48241E-03,-7.83919604E+00,+16.08040E-03
-37.15000E-03,+98.49246E-03,-7.93969855E+00,+16.08040E-03
-37.10000E-03,+96.48241E-03,-8.04020107E+00,+15.67839E-03
-37.05000E-03,+100.50251E-03,-8.24120609E+00,+15.47739E-03
-37.00000E-03,+94.47236E-03,-8.24120609E+00,+15.27638E-03
-36.95000E-03,+98.49246E-03,-8.24120609E+00,+15.07538E-03
-36.90000E-03,+94.47236E-03,-8.24120609E+00,+14.87437E-03
-36.85000E-03,+96.48241E-03,-8.12814077E+00,+15.85427E-03
-36.80000E-03,+96.48241E-03,-8.04020107E+00,+16.08040E-03
-36.75000E-03,+97.48744E-03,-8.04020107E+00,+15.05025E-03
-36.70000E-03,+96.48241E-03,-8.04020107E+00,+16.05528E-03
-36.65000E-03,+95.47739E-03,-7.92713574E+00,+15.07538E-03
