x-axis,1,2,3
second,Volt,Volt,Volt
-442.5000E-06,-28.1407032E-03,-3.0150754005E+00,-60.3015069E-03
-442.0000E-06,-32.1608037E-03,-3.0150754005E+00,-63.5678385E-03
-441.5000E-06,-38.1909544E-03,-2.7763819313E+00,-64.3216074E-03
-441.0000E-06,-40.7035172E-03,-2.5376884621E+00,-63.0653260E-03
-440.5000E-06,-45.8542709E-03,-2.4120603204E+00,-66.8341701E-03
-440.0000E-06,-48.2412055E-03,-2.2110552937E+00,-68.9698485E-03
-439.5000E-06,-51.8844216E-03,-2.1733668512E+00,-71.9849239E-03
-439.0000E-06,-56.2814064E-03,-1.7336683553E+00,-72.3618083E-03
-438.5000E-06,-60.3015069E-03,-1.6080402136E+00,-72.6130645E-03
-438.0000E-06,-62.3115571E-03,-1.4070351869E+00,-76.3819087E-03
-437.5000E-06,-66.3316576E-03,-1.2060301602E+00,-78.6432152E-03
-437.0000E-06,-70.3517580E-03,-1.0050251335E+00,-79.0200997E-03
-436.5000E-06,-72.3618083E-03,-804.0201068E-03,-78.8944715E-03
-436.0000E-06,-77.0100494E-03,-603.0150801E-03,-83.6683408E-03
-435.5000E-06,-80.4020092E-03,-402.0100534E-03,-82.4120594E-03
-435.0000E-06,-83.0402001E-03,-263.8190975E-03,-83.6683408E-03
-434.5000E-06,-86.4321599E-03,+163.3165842E-03,-84.6733659E-03
-434.0000E-06,-88.4422101E-03,+402.0100534E-03,-86.4321599E-03
-433.5000E-06,-90.7035166E-03,+603.0150801E-03,-86.0552755E-03
-433.0000E-06,-96.4824110E-03,+603.0150801E-03,-88.4422101E-03
-432.5000E-06,-98.1155768E-03,+1.0050251335E+00,-86.4321599E-03
-432.0000E-06,-101.0050240E-03,+1.2060301602E+00,-87.0603006E-03
-431.5000E-06,-102.5125617E-03,+1.4070351869E+00,-86.6834162E-03
-431.0000E-06,-105.1507526E-03,+1.6080402136E+00,-88.4422101E-03
-430.5000E-06,-108.5427124E-03,+1.6331658419E+00,-86.6834162E-03
-430.0000E-06,-111.8090440E-03,+1.9346733820E+00,-88.4422101E-03
-429.5000E-06,-112.8140691E-03,+2.3743718779E+00,-88.0653257E-03
-429.0000E-06,-113.8190943E-03,+2.4120603204E+00,-87.0603006E-03
-428.5000E-06,-116.5829133E-03,+2.6381909754E+00,-88.4422101E-03
-428.0000E-06,-117.8391947E-03,+2.8140703738E+00,-86.4321599E-03
-427.5000E-06,-118.8442198E-03,+3.2160804272E+00,-86.4321599E-03
-427.0000E-06,-119.2211043E-03,+3.3417085689E+00,-86.4321599E-03
-426.5000E-06,-120.6030138E-03,+3.6180904806E+00,-84.4221096E-03
-426.0000E-06,-122.6130640E-03,+3.6809045514E+00,-83.6683408E-03
-425.5000E-06,-124.6231142E-03,+3.8190955073E+00,-83.7939690E-03
-425.0000E-06,-124.6231142E-03,+4.1457286756E+00,-82.4120594E-03
-424.5000E-06,-126.6331645E-03,+4.4472362157E+00,-77.2613057E-03
-424.0000E-06,-126.6331645E-03,+4.7487437557E+00,-78.3919590E-03
-423.5000E-06,-128.6432147E-03,+4.8241206408E+00,-76.3819087E-03
-423.0000E-06,-126.6331645E-03,+5.0251256675E+00,-77.0100494E-03
-422.5000E-06,-126.6331645E-03,+5.3517588358E+00,-72.6130645E-03
-422.0000E-06,-126.6331645E-03,+5.4271357208E+00,-69.7236173E-03
-421.5000E-06,-126.8844208E-03,+5.7914573317E+00,-68.3417078E-03
-421.0000E-06,-127.2613052E-03,+5.8291457742E+00,-67.5879390E-03
-420.5000E-06,-126.6331645E-03,+6.0301508009E+00,-62.5628134E-03
-420.0000E-06,-126.6331645E-03,+6.2311558276E+00,-62.3115571E-03
-419.5000E-06,-124.6231142E-03,+6.4321608543E+00,-58.2914567E-03
-419.0000E-06,-123.2412047E-03,+6.4949749252E+00,-56.2814064E-03
-418.5000E-06,-122.6130640E-03,+6.6582915094E+00,-54.2713562E-03
-418.0000E-06,-121.2311545E-03,+6.8341709077E+00,-48.8693462E-03
-417.5000E-06,-118.5929636E-03,+7.0351759344E+00,-47.8643211E-03
-417.0000E-06,-118.5929636E-03,+7.1608040761E+00,-43.4673362E-03
-416.5000E-06,-114.5728631E-03,+7.2613065895E+00,-40.4522609E-03
-416.0000E-06,-114.5728631E-03,+7.4371859878E+00,-37.4371855E-03
-415.5000E-06,-112.1859284E-03,+7.4371859878E+00,-34.4221102E-03
-415.0000E-06,-110.5527626E-03,+7.6381910145E+00,-32.1608037E-03
-414.5000E-06,-108.5427124E-03,+7.6381910145E+00,-28.1407032E-03
-414.0000E-06,-105.7788933E-03,+7.9648241829E+00,-24.1206028E-03
-413.5000E-06,-102.5125617E-03,+8.0402010679E+00,-20.3517586E-03
-413.0000E-06,-101.7587929E-03,+8.0402010679E+00,-17.4623114E-03
-412.5000E-06,-100.1256271E-03,+8.2412060946E+00,-14.3216079E-03
-412.0000E-06,-96.4824110E-03,+8.3040201655E+00,-11.3065325E-03
-411.5000E-06,-92.4623106E-03,+8.2412060946E+00,-9.4221105E-03
-411.0000E-06,-91.7085417E-03,+8.2412060946E+00,-6.0301507E-03
-410.5000E-06,-88.0653257E-03,+8.4045226788E+00,-1.6331658E-03
-410.0000E-06,-84.4221096E-03,+8.4422111213E+00,+0.0E+00
-409.5000E-06,-83.7939690E-03,+8.4422111213E+00,+5.6532663E-03
-409.0000E-06,-79.0200997E-03,+8.4422111213E+00,+7.2864321E-03
-408.5000E-06,-76.3819087E-03,+8.4422111213E+00,+11.6834170E-03
-408.0000E-06,-74.3718585E-03,+8.4422111213E+00,+15.3266330E-03
-407.5000E-06,-67.9648234E-03,+8.6055277055E+00,+17.7135676E-03
-407.0000E-06,-66.3316576E-03,+8.6432161480E+00,+21.3567837E-03
-406.5000E-06,-62.5628134E-03,+8.4422111213E+00,+24.6231153E-03
-406.0000E-06,-58.9195974E-03,+8.4422111213E+00,+26.1306530E-03
-405.5000E-06,-57.9145722E-03,+8.2412060946E+00,+28.1407032E-03
-405.0000E-06,-51.6331653E-03,+8.2412060946E+00,+30.1507534E-03
-404.5000E-06,-48.4924618E-03,+8.4422111213E+00,+34.1708539E-03
-404.0000E-06,-46.8592960E-03,+8.4422111213E+00,+37.4371855E-03
-403.5000E-06,-42.4623111E-03,+8.2412060946E+00,+40.2010046E-03
-403.0000E-06,-38.8190951E-03,+8.1030151388E+00,+43.4673362E-03
-402.5000E-06,-36.1809041E-03,+8.2035176521E+00,+48.2412055E-03
-402.0000E-06,-32.1608037E-03,+8.0402010679E+00,+49.4974869E-03
-401.5000E-06,-28.1407032E-03,+7.8391960412E+00,+53.8944718E-03
-401.0000E-06,-24.1206028E-03,+7.8391960412E+00,+55.5276376E-03
-400.5000E-06,-21.7336681E-03,+7.8015075987E+00,+56.5326627E-03
-400.0000E-06,-19.3467335E-03,+7.6381910145E+00,+58.2914567E-03
-399.5000E-06,-14.0703516E-03,+7.4371859878E+00,+62.3115571E-03
-399.0000E-06,-11.3065325E-03,+7.5000000587E+00,+62.9396978E-03
-398.5000E-06,-7.6633165E-03,+7.2613065895E+00,+64.3216074E-03
-398.0000E-06,-3.2663316E-03,+7.0979900053E+00,+68.9698485E-03
-397.5000E-06,+251.2563E-06,+7.0351759344E+00,+70.3517580E-03
-397.0000E-06,+3.2663316E-03,+6.9597990494E+00,+72.3618083E-03
-396.5000E-06,+8.0402009E-03,+6.7964824652E+00,+74.3718585E-03
-396.0000E-06,+10.0502511E-03,+6.4949749252E+00,+78.3919590E-03
-395.5000E-06,+15.7035174E-03,+6.4321608543E+00,+80.4020092E-03
-395.0000E-06,+18.0904521E-03,+6.4321608543E+00,+81.6582906E-03
-394.5000E-06,+21.7336681E-03,+6.0301508009E+00,+82.0351750E-03
-394.0000E-06,+24.7487435E-03,+5.8919598451E+00,+86.4321599E-03
-393.5000E-06,+29.7738690E-03,+5.8291457742E+00,+84.6733659E-03
-393.0000E-06,+32.1608037E-03,+5.6281407475E+00,+87.6884413E-03
-392.5000E-06,+37.8140699E-03,+5.4271357208E+00,+83.2914564E-03
-392.0000E-06,+38.1909544E-03,+5.3517588358E+00,+91.0804010E-03
-391.5000E-06,+41.8341704E-03,+5.0502512958E+00,+94.0954764E-03
-391.0000E-06,+44.8492458E-03,+4.9497487824E+00,+94.4723608E-03
-390.5000E-06,+48.4924618E-03,+4.8241206408E+00,+94.4723608E-03
-390.0000E-06,+52.2613060E-03,+4.4849246582E+00,+95.1005015E-03
-389.5000E-06,+56.2814064E-03,+4.2211055607E+00,+98.1155768E-03
-389.0000E-06,+59.5477381E-03,+4.2211055607E+00,+98.4924613E-03
-388.5000E-06,+62.3115571E-03,+4.0201005340E+00,+101.8844210E-03
-388.0000E-06,+63.6934667E-03,+3.6180904806E+00,+100.5025115E-03
-387.5000E-06,+66.5829139E-03,+3.6180904806E+00,+102.5125617E-03
-387.0000E-06,+70.3517580E-03,+3.6180904806E+00,+101.8844210E-03
-386.5000E-06,+74.3718585E-03,+3.3793970114E+00,+102.7638180E-03
-386.0000E-06,+75.7537680E-03,+3.0778894713E+00,+106.5326622E-03
-385.5000E-06,+80.0251248E-03,+2.8140703738E+00,+104.7738682E-03
-385.0000E-06,+82.9145720E-03,+2.6130653471E+00,+105.7788933E-03
-384.5000E-06,+84.4221096E-03,+2.4120603204E+00,+106.1557778E-03
-384.0000E-06,+87.0603006E-03,+2.2110552937E+00,+106.5326622E-03
-383.5000E-06,+88.4422101E-03,+2.0100502670E+00,+108.7939687E-03
-383.0000E-06,+91.0804010E-03,+1.8090452403E+00,+108.5427124E-03
-382.5000E-06,+92.7135668E-03,+1.5703517711E+00,+106.7839185E-03
-382.0000E-06,+94.4723608E-03,+1.4070351869E+00,+107.1608029E-03
-381.5000E-06,+98.7437175E-03,+1.2311557885E+00,+106.7839185E-03
-381.0000E-06,+100.5025115E-03,+1.1306532752E+00,+108.5427124E-03
